Date,Open,High,Low,Close,Volume,OpenInt
2006-09-11,34.467,34.613,34.312,34.398,116455,0
2006-09-12,34.398,34.467,34.259,34.413,82595,0
2006-09-13,34.422,34.786,34.235,34.786,131708,0
2006-09-14,34.661,34.808,34.328,34.413,191426,0
2006-09-15,34.606,34.777,34.398,34.482,329855,0
2006-09-18,34.39,34.613,33.957,34.081,141663,0
2006-09-19,34.081,34.235,33.639,34.05,218178,0
2006-09-20,34.121,34.252,33.831,34.065,150320,0
2006-09-21,34.135,34.167,33.601,33.739,129253,0
2006-09-22,33.695,33.702,33.478,33.608,157557,0
2006-09-25,33.632,33.924,33.47,33.781,169579,0
2006-09-26,33.781,34.042,33.695,33.788,126926,0
2006-09-27,33.724,34.195,33.702,34.151,149159,0
2006-09-28,34.229,34.305,33.889,34.033,99782,0
2006-09-29,34.042,34.144,33.615,33.615,151352,0
2006-10-02,33.924,34.033,33.624,33.772,178498,0
2006-10-03,33.663,33.996,33.392,33.663,210812,0
2006-10-04,33.539,34.073,33.539,34.065,109610,0
2006-10-05,34.159,34.452,33.895,34.011,160404,0
2006-10-06,34.011,34.011,33.601,33.731,160274,0
2006-10-09,33.654,33.695,33.478,33.561,145538,0
2006-10-10,33.485,33.485,32.921,33.158,526189,0
2006-10-11,33.152,33.261,32.941,33.211,360618,0
2006-10-12,33.289,33.499,33.073,33.439,395257,0
2006-10-13,33.499,33.731,33.462,33.485,180051,0
2006-10-16,33.462,33.823,33.255,33.788,342262,0
2006-10-17,34.452,34.452,33.579,33.695,157301,0
2006-10-18,33.809,34.086,33.795,33.996,385692,0
2006-10-19,33.966,34.243,33.895,34.002,147737,0
2006-10-20,34.103,34.121,33.889,33.966,79879,0
2006-10-23,33.809,33.974,33.639,33.856,163635,0
2006-10-24,33.781,33.831,33.422,33.831,95774,0
2006-10-25,33.856,34.475,33.856,34.452,459496,0
2006-10-26,34.53,34.53,34.159,34.43,151352,0
2006-10-27,34.39,34.513,34.095,34.151,85177,0
2006-10-30,35.009,35.009,34.273,34.622,192196,0
2006-10-31,34.777,35.117,34.677,34.893,212750,0
2006-11-01,34.955,35.341,34.94,35.124,218570,0
2006-11-02,35.009,35.18,34.885,35.078,310852,0
2006-11-03,35.14,35.395,34.969,35.303,237827,0
2006-11-06,35.41,35.567,35.264,35.427,104565,0
2006-11-07,35.419,35.736,35.233,35.381,109992,0
2006-11-08,35.25,36.052,35.25,35.852,168676,0
2006-11-09,35.898,35.898,35.551,35.703,135069,0
2006-11-10,35.761,35.975,35.744,35.938,69280,0
2006-11-13,35.784,35.828,35.436,35.587,152518,0
2006-11-14,35.669,36.083,35.472,36.069,107020,0
2006-11-15,36.131,36.131,35.898,36.023,126797,0
2006-11-16,36.023,36.27,35.915,36.023,93193,0
2006-11-17,36.023,36.169,35.753,35.915,62429,0
2006-11-20,35.784,36.052,35.719,35.876,51056,0
2006-11-21,35.898,35.945,35.627,35.792,41233,0
2006-11-22,35.798,35.868,35.635,35.674,64111,0
2006-11-24,35.603,35.837,35.575,35.627,52995,0
2006-11-27,35.481,35.534,35.358,35.511,174751,0
2006-11-28,35.488,35.907,35.488,35.683,79489,0
2006-11-29,35.852,36.047,35.595,35.938,132872,0
2006-11-30,35.876,36.177,35.744,36.077,121369,0
2006-12-01,36.077,36.122,35.567,35.828,159368,0
2006-12-04,35.907,36.541,35.907,36.471,121626,0
2006-12-05,36.556,37.012,36.502,36.834,189999,0
2006-12-06,36.75,36.75,36.502,36.572,110641,0
2006-12-07,36.526,36.711,36.052,36.286,89444,0
2006-12-08,36.21,36.378,35.953,36.061,71089,0
2006-12-11,36.016,36.052,35.884,35.975,96809,0
2006-12-12,35.828,36.471,35.828,36.302,133263,0
2006-12-13,36.439,36.486,36.21,36.326,85825,0
2006-12-14,36.278,36.51,36.21,36.479,148128,0
2006-12-15,36.556,36.75,36.494,36.656,248299,0
2006-12-18,36.728,36.734,35.792,35.898,104824,0
2006-12-19,35.859,36.245,35.753,36.122,85825,0
2006-12-20,36.122,36.596,35.898,36.047,107926,0
2006-12-21,36.061,36.433,35.728,35.907,101594,0
2006-12-22,35.945,36.138,35.719,35.923,49895,0
2006-12-26,35.898,36.471,35.898,36.471,60619,0
2006-12-27,36.627,36.78,36.517,36.773,76517,0
2006-12-28,36.773,36.773,36.37,36.385,58810,0
2006-12-29,36.31,36.424,35.929,36.007,93836,0
2007-01-03,36.161,36.402,35.806,36.138,149033,0
2007-01-04,36.108,36.486,35.859,36.409,190651,0
2007-01-05,36.253,36.253,35.225,35.612,137527,0
2007-01-08,35.587,35.923,35.273,35.907,237441,0
2007-01-09,35.945,36.131,35.388,36.116,203445,0
2007-01-10,35.961,36.332,35.889,36.238,196594,0
2007-01-11,36.238,36.827,36.238,36.75,171262,0
2007-01-12,36.711,36.967,36.688,36.918,144636,0
2007-01-16,37.043,37.143,36.802,36.903,157428,0
2007-01-17,36.903,36.951,36.556,36.695,141271,0
2007-01-18,36.618,36.896,36.549,36.734,182892,0
2007-01-19,36.867,36.867,36.533,36.743,126797,0
2007-01-22,36.743,36.743,36.362,36.695,103017,0
2007-01-23,36.627,36.889,36.486,36.795,190908,0
2007-01-24,36.827,37.238,36.78,37.231,85563,0
2007-01-25,37.181,37.231,36.711,36.918,135199,0
2007-01-26,36.918,37.09,36.51,37.059,84405,0
2007-01-29,36.982,37.391,36.75,37.161,105081,0
2007-01-30,37.238,37.432,37.012,37.415,109866,0
2007-01-31,37.369,37.564,36.982,37.206,130936,0
2007-02-01,37.238,37.68,37.238,37.638,72383,0
2007-02-02,37.787,37.787,37.47,37.664,104824,0
2007-02-05,37.6,37.756,37.214,37.756,109479,0
2007-02-06,37.795,37.924,37.672,37.924,66178,0
2007-02-07,37.995,38.065,37.672,37.88,131708,0
2007-02-08,37.88,38.213,37.787,38.112,167512,0
